_id,coll_name,coll_place,description,lat,long,object_name,object_number,os_gridref,priref,repro_ref,strat_type,strat_unit,taxonomy,url
8050,"Chesshire, Dr J. S. I'A",Ullapool,"A sample of Gneiss, a high grade metamorphic rock, consisting of quartz, feldspar, biotite mica and hornblende. Collected from Ullapool, Durness, Scotland.",,,Gneiss,G.13292,unknown,56707,G.13292a.jpg; G.13292b.jpg,,,Gneiss,https://data.nhm.ac.uk/media/ludlow:G.13292a.jpg; https://data.nhm.ac.uk/media/ludlow:G.13292b.jpg
9205,unknown,Maddocks Quarry,"Sample of Cambrian  igneous rock Camponite, found at Maddocks Hill.",,,Igneous Rock,SHYMS: G/1982/025.002,Unknown,21631,shyms_g_1982_025.002.jpg,,,,https://data.nhm.ac.uk/media/ludlow:shyms_g_1982_025.002.jpg
8744,unknown,Unknown,A fossilised fragment of a colonial Miocene rugose coral,,,CORAL,G.20269,Unknown,659996,G.20269.jpg,Chronostratigraphy,Miocene period,Rugosa,https://data.nhm.ac.uk/media/ludlow:G.20269.jpg
7072,unknown,Norwich district,"Fossilised fragment of guard of the Cretaceous belemnite, Belemnitella mucronata. The guard is conical in form and displays a small part of the alveolus. Mounted on card with five other specimens.",52.55337574,1.24374364,Belemnite,G.04425.003,TG20,662059,G.04425.003.jpg,Chronostratigraphy,Cretaceous Period,Belemnitella mucronata,https://data.nhm.ac.uk/media/ludlow:G.04425.003.jpg
8664,"Ikin, H.",Prees,"A fragment of the shell of the Jurassic Bivalve, Gresslya intermedia. A fossil ammonite occurs on the underside of the specimen.",52.89256966,-2.67030479,BIVALVE,G.20191.002,SJ5533,659811,G.20191.002.jpg,Chronostratigraphy,Jurassic Period,Gresslya intermedia,https://data.nhm.ac.uk/media/ludlow:G.20191.002.jpg
8844,unknown,"Downton Forge, Shropshire","Sample of varicoloured blue, green and brown, vitreous, iron-rich industrial slag. Found at Downton Forge, Shropshire.",,,Slag,G.20387.002,unknown,662281,G.20387.002.jpg,,,Industrial Slag,https://data.nhm.ac.uk/media/ludlow:G.20387.002.jpg
9228,"Wyley, Canon William Kiteley",Garmston,Fossilised remains of the Ordovician hyolith Hyolithos sp. found at Garmston. Part of the Canon Wyley Collection.,,,Hyolithid,SHYMS: G/1994/0189,unknown,657566,shyms_g_1994_0189.jpg,"Chronostratigraphy, Lithostratigraphy",Ordovician Period; Tremadoc Series; Shineton Shale Formation,Hyolithos sp.,https://data.nhm.ac.uk/media/ludlow:shyms_g_1994_0189.jpg
9089,unknown,Unknown,"Sample of yellow brown layered quartz chalcedony pseudocrocidolite (Tiger's Eye), polished on one face.",,,Tigers Eye Quartz,M.00355,unknown,50003,M.00355a.jpg; M.00355b.jpg,,,SILICATE,https://data.nhm.ac.uk/media/ludlow:M.00355a.jpg; https://data.nhm.ac.uk/media/ludlow:M.00355b.jpg
7085,"Jones, Peter",Montgomeryshire,"Fossilised remains of valve of the Ordovician brachiopod Lingulella sp., found in Montgomeryshire.",,,Brachiopod,G.04560,unknown,54896,G.04560.jpg,Chronostratigraphy,Ordovician Period; Llandeilian Stage,Lingulella sp.,https://data.nhm.ac.uk/media/ludlow:G.04560.jpg
9227,unknown,Overley Hill,"Sectioned and polished sample of the precambrian extrusive volcanic rock, flow banded rhyolite showing pink felsic layers. Found at Overley Hill, Shropshire.",52.68629267,-2.57837814,Rhyolite,SHYMS: G/1994/0021,SJ6110,658480,shyms_g_1994_0021.jpg,Chronostratigraphy,Precambrian Eon,,https://data.nhm.ac.uk/media/ludlow:shyms_g_1994_0021.jpg
8072,unknown,"The Winnats, Castleton.","Fossilised remains of shell of the Carboniferous bivalve, Auiculopecten plicatus. Found at The Winnats, Castleton. The symmetrical shell displays concentric growth lines and fine radial ribbing.",,,BIVALVE,G.13475,unknown,656460,G.13475a.jpg; G.13475b.jpg,Chronostratigraphy,Carboniferous Period,Auiculopecten plicatus,https://data.nhm.ac.uk/media/ludlow:G.13475a.jpg; https://data.nhm.ac.uk/media/ludlow:G.13475b.jpg
9234,"Cobbold, Edgar Stirling (DSc, AMICE, FGS)",Harnage Grange Quarry,Single valve of the ordovician brachiopod Heterorthis patera. Found at Harnage Grange.,,,Brachiopod,SHYMS: G/1994/0305,unknown,657389,shyms_g_1994_0305.jpg,Chronostratigraphy,Ordovician Period; Caradoc Series; Costonian Substage,Heterorthis patera,https://data.nhm.ac.uk/media/ludlow:shyms_g_1994_0305.jpg
9091,unknown,Zillertal,"Sample of mineral containing large green black columnar crystals of actinolite set within a groundmass of grey white talc. Found in Zillertal, Austria.",,,Actinolite; Talc,M.00365,unknown,50017,M.00365.jpg,,,SILICATE,https://data.nhm.ac.uk/media/ludlow:M.00365.jpg
7107,"Smith, R.","Wren's Nest, Dudley.","Fossilised shell remains of the Silurian brachiopod Strophonella euglypha. Found by Smith, R. at Wrens Nest, Dudley.",52.51685254,-2.10457946,Brachiopod,G.04765,SO9391,655482,G.04765.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian; Much Wenlock Limestone Formation,Strophonella euglypha,https://data.nhm.ac.uk/media/ludlow:G.04765.jpg
8671,unknown,Cotswolds,"Fossilised valve of the Jurassic bivalve Arcomytilus asper, found in the Cotswolds. Part of the Bibbs Collection.",,,BIVALVE,G.20199,unknown,659466,G.20199.jpg,"Chronostratigraphy, Lithostratigraphy",Jurassic Period; lower oolite,Arcomytilus asper,https://data.nhm.ac.uk/media/ludlow:G.20199.jpg
8874,unknown,Hampshire,"The fossilised shell of the dextrally coiled, spindle shaped gastropod, Fusinus porrectus, consisting of seven whorls.The shell possesses a circular aperture and a long, narrow siphonal canal. Ornamentation is in the form of both spiral and transverse  ribbing. From the Palaeogene Period. Collected from the Barton Beds, Hampshire.",,,Gastropod,G.20423,unknown,662014,G.20423.jpg,Chronostratigraphy,Palaeogene Period,Fusinus porrectus,https://data.nhm.ac.uk/media/ludlow:G.20423.jpg
9251,unknown,Malvern,Fossilised remains of a Silurian cephalopod from the Wenlock Limestone. Found at Malvern.,,,Cephalopod,SHYMS: G/2019/0011,unknown,662523,shyms_g_2019_0011.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Orthoceras attenuatum,https://data.nhm.ac.uk/media/ludlow:shyms_g_2019_0011.jpg
8769,unknown,Unknown,Fossilised remains of pygidium of the Ordovician trilobite Ogygiocarella terraceline. The pygidium displays very well defined terrace lines. Also preserved within the rock matrix are remains of Bergamia? sp.and ostracods.,,,Trilobite,G.20303,unknown,660517,G.20303.jpg,Chronostratigraphy,Ordovician Period,Ogygiocarella terraceline,https://data.nhm.ac.uk/media/ludlow:G.20303.jpg
