fossil_id,description,object_name,strat_type,period,taxonomy,url
6865,"Fossilised remains of the ventral headshield of the Silurian heterostracan fish Phialaspis symondsi found at Devil's Hole, Morville",Fish,Chronostratigraphy,Silurian Period,Phialaspis symondsi,https://data.nhm.ac.uk/media/ludlow:G.03266.jpg
6947,Fossilised remains of a jaw from an extinct species of hippopotamus containing an incomplete tooth. Collected from the Siwalik Hills of India.,Hippopotamus; Tooth,Chronostratigraphy,Cenozoic Era,Hippopotamus sp.,https://data.nhm.ac.uk/media/ludlow:G.03593a.jpg; https://data.nhm.ac.uk/media/ludlow:G.03593b.jpg; https://data.nhm.ac.uk/media/ludlow:G.03593c.jpg
6996,"Fossilised shell remains of the Carboniferous articulate brachiopod, Productus sp. Showing a typical staraight hinge line. Fine radial ribbing and corrugated, concentric growth lines. Found near Castleton, Derbyshire.",Brachiopod,Chronostratigraphy,Carboniferous Period,Productus sp.,https://data.nhm.ac.uk/media/ludlow:G.03834.jpg; https://data.nhm.ac.uk/media/ludlow:G.03834b.jpg
6743,Fossilised remains of the Silurian gastropod Platyceras haliotis.,Gastropod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Platyceras haliotis,https://data.nhm.ac.uk/media/ludlow:G.01987.jpg
6821,"Silurian assemblage containing the fossilised remains of coelenterata, Coenites sp.; bryozoa, Fenestella sp.; brachiopods, Atrypa reticularis, Howellella elegans, Rhynchotreta cuneata and Anastrophia deflexa; trilobite, Acaste downingiae; cricoconarida, Tentaculites ornatus and graptolite Ptilograptus acutus. Found by Millington, S. at Wren's Nest, Dudley",Assemblage,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Fenestella sp.; Atrypa reticularis; Howellella elegans; Rhynchotreta cuneata; Anastrophia deflexa; Acaste downingiae; Tentaculites ornatus; Ptilograptus acutus,https://data.nhm.ac.uk/media/ludlow:G.02872b.jpg; https://data.nhm.ac.uk/media/ludlow:G.02872a.jpg
7256,"Possible fossilised fragment of a Silurian eurypterid. Found by Wood, B. at Burrington.",Eurypterid,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Eurypterid,https://data.nhm.ac.uk/media/ludlow:G.06388.jpg
6957,"Fossilised remains of the planispirally coiled Silurian gastropod, Platyschisma helicites",Gastropod,Chronostratigraphy,Silurian Period,Platyschisma helicites,https://data.nhm.ac.uk/media/ludlow:G.03626.jpg
7154,"Fossilised assemblage consisting of remains of phragmocones of the Silurian cephalopod Orthoceras sp. and Silurian graptolites, showing orientation. Found in the Welshpool district.",Cephalopod; Graptolite,Chronostratigraphy,Silurian Period,Orthoceras sp.,https://data.nhm.ac.uk/media/ludlow:G.05366.jpg
6979,"Fossilised remains of the Silurian sponge, Clathrodictyon striatellum",Sponge,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Clathrodictyon striatellum,https://data.nhm.ac.uk/media/ludlow:G.03763.jpg
7044,"Fossilised remains of part and counterpart of a large waterworn nodule containing a death assemblage of fragments of the phragmocones of the Silurian orthocone nautiloid, Orthoceras gregarium. Individual fossils display features including, suture lines, septal surfaces and septal foramen. Phragmocone fragments display a preferred orientation, indicating concentration and alignment by current action. Mounted on card.",Cephalopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Orthoceras gregarium,https://data.nhm.ac.uk/media/ludlow:G.04137.001.jpg
6877,"Fossilized remains of Devonian fish Pteraspis leathensis found at Yew Tree Dingle, Morville",Fish,Chronostratigraphy,Devonian Period,Pteraspis leathensis,https://data.nhm.ac.uk/media/ludlow:G.03323.jpg
6964,Fossilised remains of the Silurian graptolite Pristiograptus sp. found at Burrington.,Graptolite,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Pristiograptus sp.,https://data.nhm.ac.uk/media/ludlow:G.03665.jpg
